ID,Day,Month,Year,Colony,Locality,Municipality,Province,Region,Longtitude,Latitude
ID_1,12,9,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.94548,38.45966
ID_2,18,9,2014,,,ROSARNO,RC,CALAMBRIA,15.94931,38.4658
ID_3,25,9,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.91684,38.4548
ID_4,25,9,2014,,,ROSARNO,RC,CALAMBRIA,15.99074,38.47321
ID_5,29,9,2014,,,ROSARNO,RC,CALAMBRIA,15.99585,38.50057
ID_6,29,9,2014,,,ROSARNO,RC,CALAMBRIA,15.99508,38.49444
ID_7,29,9,2014,,,ROSARNO,RC,CALAMBRIA,15.98332,38.48932
ID_8,29,9,2014,,,SAN FERDINANDO,RC,CALAMBRIA,15.94369,38.49137
ID_9,29,9,2014,,,ROSARNO,RC,CALAMBRIA,15.99585,38.50057
ID_10,30,9,2014,,,RIZZICONI,RC,CALAMBRIA,15.99886,38.43204
ID_11,30,9,2014,,,RIZZICONI,RC,CALAMBRIA,16.00966,38.43179
ID_12,30,9,2014,,,RIZZICONI,RC,CALAMBRIA,15.9777,38.4415
ID_13,30,9,2014,,,ROSARNO,RC,CALAMBRIA,16.01835,38.46324
ID_14,1,10,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.91684,38.4548
ID_15,1,10,2014,,,RIZZICONI,RC,CALAMBRIA,15.96721,38.42463
ID_16,1,10,2014,,,GIOIA TAURO,RC,CALAMBRIA,15.88104,38.42309
ID_17,3,10,2014,,,CANDIDONI,RC,CALAMBRIA,15.97156,38.5154
ID_18,3,10,2014,,,ROSARNO,RC,CALAMBRIA,15.99074,38.47219
ID_19,10,10,2014,,,SAN FERDINANDO,RC,CALAMBRIA,15.9153,38.48855
ID_20,10,10,2014,,,SAN FERDINANDO,RC,CALAMBRIA,15.93192,38.46656
ID_21,10,10,2014,,,SAN FERDINANDO,RC,CALAMBRIA,15.91658,38.48344
ID_22,10,10,2014,,,SAN FERDINANDO,RC,CALAMBRIA,15.92195,38.48958
ID_23,10,10,2014,,,FEROLETO DELLA CHIESA,RC,CALAMBRIA,16.08228,38.46426
