from,to,Day,Month,Year
United Republic of Tanzania,North Carolina,1,11,1997
Sudan,Egypt,1,5,2000
South Africa,New South Wales,1,7,2002
United States of America,Manitoba,1,10,2002
Ethiopia,Portugal,1,9,2004
United States of America,Jamaica,1,9,2005
United States of America,Mexico,1,10,2007
United States of America,Cuba,1,9,2012
United States of America,El Salvador,1,9,2013
Central African Republic,Philippines,1,6,2014
Ethiopia,Italy,1,9,2014
United States of America,Nicaragua,1,2,2014
United States of America,Sao Paulo,1,3,2015
United States of America,South Korea,1,9,2016
United States of America,Costa Rica,10,9,2016
Philippines,Guangdong,1,10,2017
United States of America,Colombia,1,10,2020
United States of America,Guatemala,1,8,2020
